restaurant_name,review,,,,,,,,
"Imperfecto, Restro Lounge","Butter Naan, American Corn Salt and Pepper, Chicken Wings on Fire Sizzler",,,,,,,,
"Imperfecto, Restro Lounge","Paneer butter masala ,mix veg , mushroom kadai, Mushroom silt and pepper, corn solt and pepper everything was good 👍 and excellent 👌 love ❤️",,,,,,,,
"Imperfecto, Restro Lounge",Recommended dishes Chicken Wings on Fire Sizzler,,,,,,,,
"Imperfecto, Restro Lounge",Neat and clean. Very hygienic.  Frankly waiter. Good service. Tasty food,,,,,,,,
"Imperfecto, Restro Lounge",Nice place to eat clean Good hospitality food was super tasty and staff members are also very polite 💗,,,,,,,,
"Imperfecto, Restro Lounge","Nice ambient and good hospitality. Good for starters and chineese foods.
For main course they uses ready gravy which not gave taste and masala in butter masala.
Otherwise great place to hangout with friends and family.",,,,,,,,
"Imperfecto, Restro Lounge",I personally always love visiting imperfecto...today we kinda came last minute...but the staff here is sooo good...they offered what's best and hospitality was amazing! Food to I know is always good! But the hospitality we received today was great! Specially Priyanka she really caring and so responding..her behavior was perfect! Very professional but still vibin . She is perfect for a good place like this.,,,,,,,,
"Imperfecto, Restro Lounge",So I really like this place! Good music good setup! The bar is pretty cool! And the most thing! hospitality was very nice,,,,,,,,
"Imperfecto, Restro Lounge",The food in Imperfecto Restro Lounge is great 👍They are very helpful N Cooperating Kitchen team service team including all staff Thank you everyone  N Specially thanks  to Mr Manip Chef....Guys you should visit it...,,,,,,,,
"Imperfecto, Restro Lounge","There is nice decoration ,best  for birthday celebration and all other party's,all disces are so good.Must Try American cripsy corn .",,,,,,,,
"Imperfecto, Restro Lounge",Food amd atmosphere is great..Great experience with priyanka roy and her service is very good and polite.. We will again visit here 12Had an amazing experience with everything. Especially Service given by Priyanka Roy made us comfortable and welcoming .,,,,,,,,
"Imperfecto, Restro Lounge","The vibe in this place is fantastic. The food prices are reasonable, and the service is amazing.. special mention to “Sachin da” for amazing service…",,,,,,,,
"Imperfecto, Restro Lounge",Priyanka Roy and Sachin chettri gives a very good  service nd give a very good hospitality and very good restaurant too plez do visit I really love their services,,,,,,,,
"Imperfecto, Restro Lounge","The ambience and service is unexpectedly awesome!
You can enjoy the club with friends or visit with family!
Very friendly people and great for party and enjoyment purpose....
It's highly recommended to go once...
Overall best in Majhitar!",,,,,,,,
"Imperfecto, Restro Lounge",Specially sachin brother too friendly n perfect in everything 🫠🫠 nd just obsessed with the food’s nd drinks,,,,,,,,
"Imperfecto, Restro Lounge","Chicken Lollipop, Pineapple Cobbler, Chicken Wings on Fire Sizzler, Drums of Heaven, Mustang Aloo, Banjara Chicken",,,,,,,,
"Imperfecto, Restro Lounge",If you want good food with great atmosphere i strongly recommend to everyone must visit the king of good food IMPERFECTIO RESTO LOUNGE❤️,,,,,,,,
"Imperfecto, Restro Lounge","Delicious food, chinese in particular. Awesome ambience, great place to hangout. They have a dedicated hall for hosting birthday parties and events.

Its friendly for remote work as well, I sometimes work from here in the afternoon.",,,,,,,,
"Imperfecto, Restro Lounge",Drums of Heaven,,,,,,,,
"Imperfecto, Restro Lounge",Very amazing service by Priyanka Roy and love the vibe and amazing sea food.,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Loved the ambience and the food❤️❤️,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Great atmosphere. Amazing food. Lots of options and it’s pocket friendly! Definitely try the pav bhaji!!!,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE","SK01 Restaurant exceeded my expectations in every way. The ambiance was inviting, the staff attentive, and the food was a masterpiece. Fresh ingredients and balanced flavors made every dish a delight. Quick service and creative desserts added to the amazing experience. Highly recommend for any occasion. Can't wait to return!",,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",If you want to taste authentic Tibetan and Nepali cuisine go for it! It’s too good,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Very good food with great staff and also the ambience is also very good the laphing was amazing for me.,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Recommended dishes Jhol Momo,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE","I was craving for a good cup of tea!
The solution I got is SK",,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",PLUS THE AMAZING FOOD!,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Yummy food n reasonable price also like the service.,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Laphing and jhol momo they serve is bestest 👌 …,,,,,,,,
"SK01 , FOOD•TOUR•CULTURE",Food was delicious,,,,,,,,
Tashi Shaa-Khang Chinese restaurant,Ambience is very good .,,,,,,,,
Tashi Shaa-Khang Chinese restaurant,Amazing food .We loved Chiken momos and thukpa,,,,,,,,
Tashi Shaa-Khang Chinese restaurant,Nice testy food.,,,,,,,,
Tashi Shaa-Khang Chinese restaurant,The food was delicious.,,,,,,,,
"Food Court, SMIT",Worst experience in SMIT Marena food service and quality we had to wait for 1 hours . Don't waste your money  and time ⌚ worst quality of maggi and others food,,,,,,,,
"Food Court, SMIT",Worst food experience don't waste ur valuable money....rather go outside and have some food......they serve food in unwashed dishes and don't even think to take admission in this college total waste of money!!!!!!,,,,,,,,
"Food Court, SMIT",Beautiful food court at our college campus,,,,,,,,
"Food Court, SMIT",Food quality is too good. But price is high,,,,,,,,
"Food Court, SMIT",Tasty delicious restaurant like food at affordable prices.,,,,,,,,
"Food Court, SMIT",No options,,,,,,,,
"Food Court, SMIT",The Shopkeepers there are very lonely no one goes there.,,,,,,,,
Grill and Chill Majhitar,One of the best place I visited till date in majitar .wonderful ambience and service .Food was so Good .surely will visit again .All the best for your new venture,,,,,,,,
Grill and Chill Majhitar,"Good food and good ambience for a new restaurant
Staffs were really good..
Best wishes🌻 …",,,,,,,,
Grill and Chill Majhitar,Best food in town we really enjoyed a lot with their quality in taste and service.,,,,,,,,
Grill and Chill Majhitar,Best restaurants in an around majhitar. Food was good and ambience was excellent,,,,,,,,
Grill and Chill Majhitar,Must visit.. tasty food..good and Frank staff..,,,,,,,,
Grill and Chill Majhitar,It was relly good place to Hangout with friends and family.,,,,,,,,
Palate tender bar and restaurant,It was a huge surprise for me to taste the food I have dream about🌈 ... Yumm 😋😋yum😋... Just keep your taste same till last And loved to visit again an again 🙏 FnB team you were owsm and your service too 👍,,,,,,,,
Palate tender bar and restaurant,The best u could ever find. Guys do visit this restaurant ❤️✌🏻🧿 …,,,,,,,,
Palate tender bar and restaurant,Best place to hangout with friends.The food was awesome and the staff was very polite.,,,,,,,,
Palate tender bar and restaurant,"Soooooooo good food loved it
Dooo visit",,,,,,,,
Palate tender bar and restaurant,"Must visit once 🔂
Really enjoyed being here🌷",,,,,,,,
Palate tender bar and restaurant,Very nice food and a cozy ambience.... the hospitality is superb,,,,,,,,
Palate tender bar and restaurant,"Very good service
Appreciated with foods
Must visit",,,,,,,,
Palate tender bar and restaurant,Great experience and great service. Nice atmosphere helps,,,,,,,,
Relax Point Restaurant cum Bar,Very good food 😋 Stobers heaven,,,,,,,,
Relax Point Restaurant cum Bar,"Sushant, he is a restaurant owner.. I think best food ever I get in sikkim in this restaurant.. Plz visit one time",,,,,,,,
Relax Point Restaurant cum Bar,Amazing place to visit. Tasty food and the owner is very nice in nature.,,,,,,,,
Relax Point Restaurant cum Bar,Immaculate !!! Simply the best!,,,,,,,,
Down town Restro & Bar,"A must visit place with Amazing food and incredible hospitality.Coolest joint for all the youngsters,families and groups with a facility of open outdoor dine and private cabins situated in a very beautiful lush green location with a huge parking.",,,,,,,,
Down town Restro & Bar,Good place to hang out with friends. Food was okay.,,,,,,,,
Down town Restro & Bar,Good food good service and good packaging 😊😊😊✌️ …,,,,,,,,
Down town Restro & Bar,Good food and Good place for hangout,,,,,,,,
Down town Restro & Bar,Excellent cuisine.,,,,,,,,
Flavour Of Spice,All good food was soo delicious and staff also very polite,,,,,,,,
Flavour Of Spice,My personal recommendation. This is the best best best quality and tasty restaurant in Sikkim. Please visit and take tasty food.,,,,,,,,
Flavour Of Spice,"Great place to eat, sweets are good but food is awesome. Try the moglai paratha & chilli chicken with butter tawa roti is fabulous.",,,,,,,,
Flavour Of Spice,"Wonderful experience!!!  At last got a pure Bengali Restaurant in (Majitar)Sikkim after so many decades. Foods are delicious 😋. Now,  I am not far from my home due to  Flavor Of Spice .",,,,,,,,
Flavour Of Spice,Very good service and food also .,,,,,,,,
Flavour Of Spice,delicious food at a price you never imagined.must try .,,,,,,,,
Flavour Of Spice,Hiegenic and best food,,,,,,,,
Flavour Of Spice,Very delicious items.,,,,,,,,
Punjabi Kitchen,Great experience the staff are very nice foor is great in quality and quantity the washroom is very clean the environment is very great for family and friends,,,,,,,,
Punjabi Kitchen,"Even the whole place was empty still staff denied  seats on bigger table, totally ruined the whole mood. Zero professionalism, zero customer service, lack of empathy and respect towards customers. If there was option for minus rating i would have given that. Never visiting again. Zero recommendation to anyone if they can't even smile at customer no reason to be in service industry. Addding on to this no proper hygiene maintained.",,,,,,,,
Punjabi Kitchen,Recommended dishes Chicken Butter Masala,,,,,,,,
Punjabi Kitchen,Tried Indian cuisine and it was totally worth it. The outlet has a seating arrangement of approx,,,,,,,,
Punjabi Kitchen,".
.
.
Personally would prefer Chicken Tikka Masala(₹280) along with Butter Naan.
.
.
.
The menu is customisable also, as we had mentioned the spiciness and it was prepared accordingly.
.
.
.
Found a bit pricy accordingly with the quantity",,,,,,,,
Punjabi Kitchen,"A great place to stop if you are going to or returning from Gangtok. We ordered two plate of chicken bharta, wanted to order three but the owner suggested to order two first and then one more if needed. Along with it we had tandoori roti which were softband crispy and totally made of atta. Plus two tall glasses of lassi which we shared among three of us. Pricewise moderate, quality and quantity fantastic.",,,,,,,,
Punjabi Kitchen,Punjabi style food is of great quality but chinese and other items are not worth it...and I am a regular customer over here...waiting time is too long...all your patience will be lost.,,,,,,,,
Punjabi Kitchen,Food quantity and quality is good as compared to price. Restaurant vibes are also good. Their butter nun and chicken methimalai and lassi are a must try.,,,,,,,,
Punjabi Kitchen,"Recommended dishes
Tandoori Chicken, Chicken Bharta, Chicken Biryani with Raita, Kadhai Chicken",,,,,,,,
Punjabi Kitchen,"We got struck in a jam and started exploring good restaurants nearby, we went by Google review and chose this place. It's a family run place serving delicious food and tea.
We ordered.
Chicken Biryani 7/10
Tandoori Chicken Masala 9/10
Tawa Roti 9/10
Milk Tea 10/10

Washroom was very clean.",,,,,,,,
Punjabi Kitchen,"One of the best places where I’ve had better chicken and butter naan 🔥. The owner is a very humble person , Great Ambience. A must try place if you’re in Sikkim ❤️.",,,,,,,,
Punjabi Kitchen,"Excellent place,  good people,  must visit.

Please enjoy chicken biryani.

Value for money",,,,,,,,
Punjabi Kitchen,Amazing food. If u r finding the real north indian than this is the one. Am sure ull love it. Service is fast too.,,,,,,,,
Punjabi Kitchen,"Masala Butter milk is a must try item here. Probably, this is the only place in entire Sikkim state where you get such kind of Butter milk.",,,,,,,,
Punjabi Kitchen,"Best place for Naan in my opinion with their Chilli Garlic Naan being my personal favourite.
You can pair it with a variety of non-veg and veg options provided.
Lassi is good too.",,,,,,,,
Punjabi Kitchen,"The food is delicious, one must try biryani mutton and chicken and sweet lassi. The preparation has an authentic flavour of Punjab. The owner is very welcoming and has pleasant behaviour. If anyone is travelling to gangtok, they must visit this place.",,,,,,,,
Punjabi Kitchen,Authentic punjabi food. Had chole bhature and lassi. Both were perfect punjabi.,,,,,,,,
Punjabi Kitchen,"Food is good
Specially lassi and chhole bhature.
Dal makhani is also become favourite to your tongue.
And pricing also not too high and not too low .
If you are a food lover then must try it once.",,,,,,,,
Punjabi Kitchen,"Love the taste of butter chicken and Nan. We tried mutton biryani even we are from hyderabad, surprisingly
it has a  unique pleasant taste.
We enjoyed it.
Try this kitchen if u r near by.",,,,,,,,
Punjabi Kitchen,"Great restro for dining in❤❤❤❤
Located on NH10,a few steps ahead of indian oil petrol pump in Majhitar,East sikkim,Punjabi kitchen according to my view is a top rated affordable restaurant for a great meal with family and friends.
Variety of extremely affordable dishes available.
While on way to Gantok or a short trip to sikkim one must take a small halt to visit this place😊",,,,,,,,
Punjabi Kitchen,"The food is super delicious and in the place like Sikkim you will get real Punjabi tadka. Only thing is quantity is a bit less. If you eat more sabji with a roti, for two persons single sabji is not sufficient.",,,,,,,,
Punjabi Kitchen,"While living in Sikkim for almost 2 years. Being a Delhite, I find this place kinda my taste.
It has got sizzling Tandoori Chicken and all those other Tandoori things like Paneer Tikka ,etc. It has fulkas or rotis which are really good. It also serves gravy options which are really mouth watering. You should order Chicken Curry and Murg Masalam.
It also serves good beverages options like milk tea ( one should try)
Really good ambience. And prices are also moderate .
The staff is really nice and cooperative.
I guess one will have a really good time having a bite here.",,,,,,,,
Punjabi Kitchen,"Very Subtle Place. The food is decent, slightly over priced if you're going alone or going with just one person. Go in a group and have fun with friends and enjoy the food. Lassi is best. And so is the dal makhani😍 …",,,,,,,,
Punjabi Kitchen,Punjabi Kitchen has the best foods on all of the Majhitar. My fav is Handi Chicken and Butter Naan. Best combo. You should try it.,,,,,,,,
Punjabi Kitchen,"cheese chilly and kadai paneer awsome. try lassi also, punjabi kitchen means spicy food just like punjabi wants, thanks for a great taste",,,,,,,,
Punjabi Kitchen,"This restuarant run by passionate husband and wife, that is why best taste in the whole market for example bharta chicken, keema nan, briyani and many more",,,,,,,,
Coffee Break,Coffee Break is a great spot for a quick bite with plenty of options. I especially love their panini and the sizzling brownie with ice cream. The ambience is also excellent and adds to the experience. Highly recommend visiting for brunch and trying their desserts.,,,,,,,,
Coffee Break,Good atmosphere with good food but the price is little bit more,,,,,,,,
Coffee Break,"The food is really very tasty and the cakes are the best.... The ambience is very comforting and gives a nice vibe... Though I would suggest that they should increase the variety of food items in their menu... All in all its the best place for dates, birthday party or even casual hangout...",,,,,,,,
Coffee Break,The best in Majithar. Very popular within SMIT folks. The pastries are baked fresh everyday. It was really good. Didn't expect this quality in Sikkim. Great ambience and service. Go for it.,,,,,,,,
Coffee Break,"Good taste ,good quality ,price is also ok acording to Sikkim . pastries and muffins are good also , I didn't like the pizza here(thin crust) otherwise rest of the things are on point not soo great but good .you can spend the evening here with friends and family , atmosphere is good ,staffs behaviour is good.",,,,,,,,
Coffee Break,"A birthday cake in butterscotch
Rainbow cake with white cream
Superb cake
An unexpected touch of tiny butterflies made it more special.

Soft and really delicious sponge as well as cream.
Thank you Coffeebreak! We really enjoyed it and it definitely made the day very exceptional! Looking forward to the next one!",,,,,,,,
Coffee Break,Food items are more tasty 🤤... especially please try garlic bread n Biscoff pastry.....you gonna love it...👍❤️🙂...,,,,,,,,
Coffee Break,"Great outlet for evening snacks......for a small outing wid frnds..for variety tadte if coffes,latte,cappuccino n lot more.
Must visit.",,,,,,,,
Coffee Break,"The day was success and your contribution made it very special with wonderful and delicious cake.
Big thank you for the wonderful cake. The cake was decorated perfectly. It was soft and the sponge was so moist and delicious. I love your service. Best service ever.
Thank you coffee break team😊",,,,,,,,
Coffee Break,Good place to hangout with small group. Friendly and service oriented. They serve tasty pastries which made me feel relaxed after a hectic  day😊😊 …,,,,,,,,
Coffee Break,"The red cheese  baked pasta is amazing.
Pizzas are good, pan cakes are delicious",,,,,,,,
Coffee Break,"Food is good, specially the pizza is great 😋.
I would recommend you guys to go there and take a break from your work and enjoy the food. It's really delicious.",,,,,,,,
Coffee Break,"A chill place for Italian and Mexican food. A well maintained restaurant in terms of food quality, taste, ambience.",,,,,,,,
Coffee Break,Recommended dishes Cheese Garlic Bread with Cheese,,,,,,,,
Coffee Break,Most beautiful  cozy adda zone with quality  environment  n food.Meeting friends over a cup of coffee is an add on factor of this place.I 😉love coffee break …,,,,,,,,
KFC,Place was clean but looked deserted on Tuesday afternoon. Staff were attentive but looked less professional. Taste of Burger was not as expected & size of fries tiny. Failed to meet our expectation from the KFC outlet.,,,,,,,,
KFC,"Good experience at kfc majitar the staff was friendly, the service needs to be improved and brought at par with kfcs at other locations.  the chicken was crispy and delicious as always .highly recommend for lunch / dinner !”
The cleanliness of tables may be attended quickly",,,,,,,,
KFC,"Last couple of day I visited a KFC for refreshments, while I'm traveling from Darjeeling to Gangtok, it's was pleasant experience from start to finish. First of cleanliness of restuarant was very impressive. Floor and table are well clean and dry , like personal restroom are great 👍 and at all employees are aslo very polite and welcoming, from the moment I steeped in, treated with respect. For once try guys",,,,,,,,
KFC,"Finger lickin' good,"" and ""The chicken is high quality, made with a secret recipe, and prepared carefully. Table always clean, and staff is vary nice , staff taking polite with costomer",,,,,,,,
KFC,"Great experience at kfc majitar the staff was friendly,the service was quick and the chicken was crispy and delicious as always .highly recommend for quick bite in Gangtok !”",,,,,,,,
KFC,Very cleaned area and the test of food is good,,,,,,,,
